metadata.vaccinationRound,state.name,state.ID,district.name,district.ID,totalVaccinations.count,farmersBenefited.count
2,Arunachal Pradesh,state_12,Pakke Kessang,district_723,10973,44
2,Arunachal Pradesh,state_12,Lohit,district_234,10371,1693
2,Arunachal Pradesh,state_12,Leparada,district_724,10260,340
2,Arunachal Pradesh,state_12,East Kameng,district_231,9032,1165
2,Arunachal Pradesh,state_12,West Kameng,district_242,8846,478
2,Arunachal Pradesh,state_12,Papum Pare,district_237,8677,303
2,Arunachal Pradesh,state_12,Upper Siang,district_240,6779,295
2,Arunachal Pradesh,state_12,Siang,district_679,6249,220
2,Arunachal Pradesh,state_12,Kamle,district_718,5715,142
2,Arunachal Pradesh,state_12,Shi Yomi,district_725,4499,163
2,Arunachal Pradesh,state_12,Kra Daadi,district_677,3581,64
2,Arunachal Pradesh,state_12,Longding,district_666,2521,222
2,Arunachal Pradesh,state_12,Anjaw,district_628,2510,126
2,Arunachal Pradesh,state_12,West Siang,district_243,2271,310
2,Arunachal Pradesh,state_12,Kurung Kumey,district_233,1772,193
2,Arunachal Pradesh,state_12,Tirap,district_239,1443,73
2,Arunachal Pradesh,state_12,Dibang Valley,district_230,1039,17
3,Arunachal Pradesh,state_12,Namsai,district_678,35904,6514
3,Arunachal Pradesh,state_12,Siang,district_679,23056,435
3,Arunachal Pradesh,state_12,Lower Subansiri,district_236,22401,1145
3,Arunachal Pradesh,state_12,Kurung Kumey,district_233,21985,1340
3,Arunachal Pradesh,state_12,Papum Pare,district_237,21956,1288
3,Arunachal Pradesh,state_12,Lohit,district_234,21080,2538
3,Arunachal Pradesh,state_12,East Kameng,district_231,15102,1927
3,Arunachal Pradesh,state_12,Changlang,district_229,12520,3148
3,Arunachal Pradesh,state_12,Tawang,district_238,12096,922
3,Arunachal Pradesh,state_12,East Siang,district_232,11737,1109
3,Arunachal Pradesh,state_12,Upper Siang,district_240,10676,473
3,Arunachal Pradesh,state_12,Upper Subansiri,district_241,9829,903
3,Arunachal Pradesh,state_12,Lower Dibang Valley,district_235,8264,802
3,Arunachal Pradesh,state_12,Anjaw,district_628,7988,761
3,Arunachal Pradesh,state_12,Lower Siang,district_719,7522,962
3,Arunachal Pradesh,state_12,West Kameng,district_242,6497,637
3,Arunachal Pradesh,state_12,West Siang,district_243,6405,650
3,Arunachal Pradesh,state_12,Kamle,district_718,5744,388
3,Arunachal Pradesh,state_12,Tirap,district_239,5047,512
3,Arunachal Pradesh,state_12,Kra Daadi,district_677,4448,75
3,Arunachal Pradesh,state_12,Dibang Valley,district_230,3468,77
3,Arunachal Pradesh,state_12,Longding,district_666,3295,327
3,Arunachal Pradesh,state_12,Shi Yomi,district_725,2503,213
3,Arunachal Pradesh,state_12,Leparada,district_724,1892,144
3,Arunachal Pradesh,state_12,Pakke Kessang,district_723,1202,106
4,Arunachal Pradesh,state_12,Namsai,district_678,29458,5479
4,Arunachal Pradesh,state_12,Lower Subansiri,district_236,22820,827
4,Arunachal Pradesh,state_12,Siang,district_679,20891,426
4,Arunachal Pradesh,state_12,Changlang,district_229,14572,3525
4,Arunachal Pradesh,state_12,East Kameng,district_231,14147,1864
4,Arunachal Pradesh,state_12,Kurung Kumey,district_233,14061,873
4,Arunachal Pradesh,state_12,Lohit,district_234,12587,1664
4,Arunachal Pradesh,state_12,Lower Dibang Valley,district_235,10116,997
4,Arunachal Pradesh,state_12,East Siang,district_232,9922,820
4,Arunachal Pradesh,state_12,Papum Pare,district_237,8183,782
4,Arunachal Pradesh,state_12,Tawang,district_238,7771,721
4,Arunachal Pradesh,state_12,Lower Siang,district_719,5842,556
4,Arunachal Pradesh,state_12,West Kameng,district_242,5155,538
4,Arunachal Pradesh,state_12,Kra Daadi,district_677,4942,71
4,Arunachal Pradesh,state_12,West Siang,district_243,4718,508
4,Arunachal Pradesh,state_12,Anjaw,district_628,4494,442
4,Arunachal Pradesh,state_12,Kamle,district_718,3659,284
4,Arunachal Pradesh,state_12,Shi Yomi,district_725,3314,228
4,Arunachal Pradesh,state_12,Upper Siang,district_240,3047,181
4,Arunachal Pradesh,state_12,Longding,district_666,2907,309
4,Arunachal Pradesh,state_12,Dibang Valley,district_230,2388,55
4,Arunachal Pradesh,state_12,Upper Subansiri,district_241,2027,407
4,Arunachal Pradesh,state_12,Tirap,district_239,2006,311
4,Arunachal Pradesh,state_12,Leparada,district_724,1626,185
4,Arunachal Pradesh,state_12,Pakke Kessang,district_723,1198,111
1,Assam,state_18,Darrang,district_283,66877,22676
