metadata.recordID,metadata.diseaseName,metadata.diseaseCode,metadata.round,country.ID,country.name,location.admin.hierarchy,state.ID,state.name,district.ID,district.name,subdistrict.ID,subdistrict.name,village.ID,village.name,vaccinationSchedule
e4236562-4022-4cb6-92ec-bddd29dacc21,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598791,Sidnal,2024-04-08T00:00:00Z
3cac47ad-ad4a-42c3-9500-84be8d32de5a,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598792,Andamuranal,2024-04-10T00:00:00Z
7fd8a229-b9ea-4d77-930d-b696e4cb2027,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598793,Salagundi,2024-04-12T00:00:00Z
44a77371-d6c1-4be6-86fd-9d608039e2d5,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Kaladagi,2024-04-01T00:00:00Z
ba54a998-e6cc-4e63-9456-40fce2fd3956,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Kaladagi,2024-04-02T00:00:00Z
a3185894-e9cb-4f6a-8900-d531ef260366,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Kaladagi,2024-04-03T00:00:00Z
34b3ac5e-b2fc-4a0f-b3c3-5182f4e2ea01,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Kaladagi,2024-04-04T00:00:00Z
3caa4dce-dea8-4fe6-af0b-a5c7748e1433,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Kaladagi,2024-04-05T00:00:00Z
b54aa02e-1921-4034-851f-1777ec4da599,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Kaladagi,2024-04-06T00:00:00Z
f3cd366a-dd3c-42e3-9b47-dcfed1ca26db,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Kaladagi,2024-04-08T00:00:00Z
94e890a0-76d6-4892-824c-2e26e2000b8c,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598773,Ankalagi,2024-04-10T00:00:00Z
66467143-fb99-4856-8d11-1298d417ee5b,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598773,Ankalagi,2024-04-12T00:00:00Z
60f01c05-ecd5-4676-bf2c-84732d5bb714,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598773,Ankalagi,2024-04-15T00:00:00Z
4546c3bc-680d-4f5c-94f6-5aee096fade6,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598773,Ankalagi,2024-04-16T00:00:00Z
e920dfad-a67b-4782-8ba4-db4c181368c7,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598775,Govindkopp,2024-04-17T00:00:00Z
e542315b-e12e-48ef-835e-34eb210dd667,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598775,Govindkopp,2024-04-18T00:00:00Z
fc2da280-afc8-4f94-aba3-18b9718d9201,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598775,Govindkopp,2024-04-19T00:00:00Z
a621d08d-3e1c-4ce4-9fb7-709df292250e,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598775,Govindkopp,2024-04-20T00:00:00Z
ceabafaa-e19f-4d51-9ecb-b92e82a1f9f7,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598799,Khajjidoni,2024-04-01T00:00:00Z
5d784525-aeb7-42c2-a9dd-ee4864f5f7dc,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598799,Khajjidoni,2024-04-02T00:00:00Z
