regionID,regionName,parentID
subdistrict_5498,HOSAPETE,district_738
district_387,RAIPUR,state_22
subdistrict_5499,SIRUGUPPA,district_528
district_388,RAJNANDGAON,state_22
district_762,SAKTI,state_22
subdistrict_5500,BALLARI,district_528
subdistrict_5501,SANDUR,district_528
district_763,SARANGARH-BILAIGARH,state_22
subdistrict_5502,KUDLIGI,district_738
district_642,SUKMA,state_22
district_648,SURAJPUR,state_22
subdistrict_5503,MOLAKALMURU,district_533
district_389,SURGUJA,state_22
subdistrict_5504,CHALLAKERE,district_533
district_381,UTTAR BASTAR KANKER,state_22
subdistrict_5505,CHITRADURGA,district_533
subdistrict_5506,HOLALKERE,district_533
district_77,CENTRAL,ut_7
district_78,EAST,ut_7
subdistrict_5507,HOSDURGA,district_533
subdistrict_5508,HIRIYUR,district_533
district_79,NEW DELHI,ut_7
subdistrict_5509,HARIHAR,district_535
district_80,NORTH,ut_7
district_81,NORTH EAST,ut_7
subdistrict_5510,HARAPANAHALLI,district_738
subdistrict_5511,JAGALUR,district_535
district_82,NORTH WEST,ut_7
subdistrict_5512,DAVANAGERE,district_535
district_671,SHAHDARA,ut_7
district_83,SOUTH,ut_7
subdistrict_5513,HONNALI,district_535
subdistrict_5514,CHANNAGIRI,district_535
district_670,SOUTH EAST,ut_7
subdistrict_5515,SAGAR,district_547
district_84,SOUTH WEST,ut_7
district_85,WEST,ut_7
subdistrict_5516,SORAB,district_547
subdistrict_5517,SHIKARPUR,district_547
district_551,NORTH GOA,state_30
subdistrict_5518,HOSANAGARA,district_547
district_552,SOUTH GOA,state_30
district_438,AHMEDABAD,state_24
subdistrict_5519,TIRTHAHALLI,district_547
subdistrict_5520,SHIVAMOGGA,district_547
district_439,AMRELI,state_24
district_440,ANAND,state_24
subdistrict_5521,BHADRAVATI,district_547
subdistrict_5522,KUNDAPURA,district_549
district_672,ARVALLI,state_24
district_441,BANAS KANTHA,state_24
subdistrict_5523,UDUPI,district_549
subdistrict_5524,KARKAL,district_549
district_442,BHARUCH,state_24
district_443,BHAVNAGAR,state_24
subdistrict_5525,SRINGERI,district_532
subdistrict_5526,KOPPA,district_532
district_676,BOTAD,state_24
subdistrict_5527,NARASIMHARAJAPURA,district_532
district_668,CHHOTAUDEPUR,state_24
subdistrict_5528,TARIKERE,district_532
district_445,DAHOD,state_24
district_444,DANGS,state_24
subdistrict_5529,KADUR,district_532
subdistrict_5530,CHIKKAMAGALURU,district_532
district_674,DEVBHUMI DWARKA,state_24
subdistrict_5531,MUDIGERE,district_532
district_446,GANDHINAGAR,state_24
subdistrict_5532,CHIKNAYAKANHALLI,district_548
district_675,GIR SOMNATH,state_24
subdistrict_5533,SIRA,district_548
district_447,JAMNAGAR,state_24
district_448,JUNAGADH,state_24
subdistrict_5534,PAVAGADA,district_548
district_449,KACHCHH,state_24
subdistrict_5535,MADHUGIRI,district_548
subdistrict_5536,KORATAGERE,district_548
district_450,KHEDA,state_24
district_451,MAHESANA,state_24
subdistrict_5537,TUMAKURU,district_548
subdistrict_5538,GUBBI,district_548
district_669,MAHISAGAR,state_24
subdistrict_5539,TIPTUR,district_548
district_673,MORBI,state_24
district_452,NARMADA,state_24
subdistrict_5540,TURUVEKERE,district_548
subdistrict_5541,KUNIGAL,district_548
district_453,NAVSARI,state_24
district_454,PANCH MAHALS,state_24
subdistrict_5542,BENGALURU NORTH,district_525
subdistrict_5543,BENGALURU SOUTH,district_525
district_455,PATAN,state_24
district_456,PORBANDAR,state_24
subdistrict_5544,BENGALURU EAST,district_525
subdistrict_5545,ANEKAL,district_525
district_457,RAJKOT,state_24
district_563,PALAKKAD,state_32
subdistrict_5546,KRISHNARAJPET,district_544
subdistrict_5547,NAGAMANGALA,district_544
district_459,SURAT,state_24
district_460,SURENDRANAGAR,state_24
subdistrict_5548,PANDAVAPURA,district_544
subdistrict_5549,SHRIRANGAPATTANA,district_544
district_641,TAPI,state_24
district_461,VADODARA,state_24
subdistrict_5550,MANDYA,district_544
subdistrict_5551,MADDUR,district_544
district_462,VALSAD,state_24
district_58,AMBALA,state_6
subdistrict_5552,MALAVALLI,district_544
district_59,BHIWANI,state_6
subdistrict_5553,SAKLESHPUR,district_539
district_701,CHARKHI DADRI,state_6
subdistrict_5554,BELUR,district_539
district_60,FARIDABAD,state_6
subdistrict_5555,ARSIKERE,district_539
subdistrict_5556,HASSAN,district_539
district_61,FATEHABAD,state_6
subdistrict_5557,ALUR,district_539
district_62,GURUGRAM,state_6
district_63,HISAR,state_6
subdistrict_5558,ARKALGUD,district_539
district_64,JHAJJAR,state_6
subdistrict_5559,HOLE NARSIPUR,district_539
subdistrict_5560,CHANNARAYAPATNA,district_539
district_65,JIND,state_6
subdistrict_5561,MANGALURU,district_534
district_66,KAITHAL,state_6
subdistrict_5562,BANTVAL,district_534
district_67,KARNAL,state_6
district_68,KURUKSHETRA,state_6
subdistrict_5563,BELTANGADI,district_534
district_69,MAHENDRAGARH,state_6
subdistrict_5564,PUTTUR,district_534
subdistrict_5565,SULYA,district_534
district_604,NUH,state_6
subdistrict_5566,MADIKERI,district_541
district_619,PALWAL,state_6
subdistrict_5567,SOMVARPET,district_541
district_70,PANCHKULA,state_6
district_71,PANIPAT,state_6
subdistrict_5568,VIRAJPET,district_541
subdistrict_5569,PIRIYAPATNA,district_545
district_72,REWARI,state_6
subdistrict_5570,HUNSUR,district_545
district_73,ROHTAK,state_6
subdistrict_5571,KRISHNARAJANAGARA,district_545
district_74,SIRSA,state_6
district_75,SONIPAT,state_6
subdistrict_5572,MYSURU,district_545
subdistrict_5573,HEGGADADEVANKOTE,district_545
district_76,YAMUNANAGAR,state_6
district_15,BILASPUR,state_2
subdistrict_5574,NANJANGUD,district_545
district_16,CHAMBA,state_2
subdistrict_5575,TIRUMAKUDAL - NARSIPUR,district_545
district_17,HAMIRPUR,state_2
subdistrict_5576,GUNDLUPET,district_531
district_18,KANGRA,state_2
subdistrict_5577,CHAMARAJANAGAR,district_531
district_19,KINNAUR,state_2
subdistrict_5578,YELANDUR,district_531
subdistrict_5579,KOLLEGAL,district_531
district_20,KULLU,state_2
district_21,LAHAUL AND SPITI,state_2
subdistrict_5580,ALAND,district_538
subdistrict_5581,AFZALPUR,district_538
district_22,MANDI,state_2
