metadata.recordID,country.ID,country.name,location.admin.hierarchy,state.ID,state.name,district.ID,district.name,metadata.category,metadata.type,population.cocks ,population.hens ,population.chickens ,population.drakes,population.ducks,population.ducklings,population.turkey,population.quails,population.poultryBirds
ee87decb-a8db-4919-9ba9-e908bee9f049,country_IN,India,Revenue,state_27,Maharashtra,district_475,Gadchiroli,Commercial,Improved,900,504,4000,31,416,0,,,
8c34aa7a-08e7-4330-89d4-abda112a3b2a,country_IN,India,Revenue,state_27,Maharashtra,district_482,Mumbai,Backyard,Indigenous,304,627,567,48,71,55,,,
5e31c36f-97ea-45aa-a0b4-bb25b2afceff,country_IN,India,Revenue,state_27,Maharashtra,district_497,Thane,Backyard,Indigenous,91149,171032,231854,107,284,104,,,
2bfb6220-e982-44f8-a48e-826307f8e5a6,country_IN,India,Revenue,state_27,Maharashtra,district_665,Palghar,Backyard,Indigenous,205272,419488,523755,873,1827,796,,,
775c7650-a5a0-466b-a27f-82c76d2ecbff,country_IN,India,Revenue,state_27,Maharashtra,district_491,Raigad,Backyard,Indigenous,186088,332307,329919,363,733,272,,,
6325d67b-a47d-49cd-9448-0cbb390a5edb,country_IN,India,Revenue,state_27,Maharashtra,district_492,Ratnagiri,Backyard,Indigenous,134862,207153,266293,44,76,21,,,
11201cd9-b559-4a30-9bf3-b7d7019e689a,country_IN,India,Revenue,state_27,Maharashtra,district_495,Sindhudurg,Backyard,Indigenous,129227,207515,204280,36,50,16,,,
386bde80-b84c-478d-89f3-d919286956d0,country_IN,India,Revenue,state_27,Maharashtra,district_487,Nashik,Backyard,Indigenous,97145,214072,175586,89,158,84,,,
fa35345f-28d6-46a3-9076-d1e764c6ffb1,country_IN,India,Revenue,state_27,Maharashtra,district_474,Dhule,Backyard,Indigenous,57543,127060,88582,293,436,169,,,
698cca7e-7e2c-4119-8132-934d1fc782c3,country_IN,India,Revenue,state_27,Maharashtra,district_486,Nandurbar,Backyard,Indigenous,39984,86607,121174,41,89,30,,,
2a3935ef-299f-4711-ac9c-449bf374f2cf,country_IN,India,Revenue,state_27,Maharashtra,district_478,Jalgaon,Backyard,Indigenous,55383,114468,59872,285,457,182,,,
b4474c15-3f20-45de-a30f-a0c7fc5ffda7,country_IN,India,Revenue,state_27,Maharashtra,district_466,Ahmednagar,Backyard,Indigenous,294752,710466,300983,273,388,68,,,
cd4022d8-6b91-49bf-8ef2-d2427d34db27,country_IN,India,Revenue,state_27,Maharashtra,district_490,Pune,Backyard,Indigenous,393315,889731,349709,491,1685,196,,,
b16f5358-582d-4b72-b87b-407ce6fe8705,country_IN,India,Revenue,state_27,Maharashtra,district_494,Satara,Backyard,Indigenous,264690,789009,320606,222,536,107,,,
ab57b30c-3881-4e58-9619-df337503057e,country_IN,India,Revenue,state_27,Maharashtra,district_493,Sangli,Backyard,Indigenous,142942,443494,123006,22,72,0,,,
30412c7e-106c-4e44-98a7-c56522912438,country_IN,India,Revenue,state_27,Maharashtra,district_496,Solapur,Backyard,Indigenous,507188,1037566,399423,540,1470,334,,,
936b7d81-9139-412f-beb3-198392225080,country_IN,India,Revenue,state_27,Maharashtra,district_480,Kolhapur,Backyard,Indigenous,89639,220501,104109,30,64,40,,,
10174a20-fc23-4d99-b8ef-303c204105de,country_IN,India,Revenue,state_27,Maharashtra,district_469,Chhatrapati Sambhajinagar,Backyard,Indigenous,34271,87513,46954,223,456,181,,,
de503a1b-466e-4a04-8701-0a9311a31cf5,country_IN,India,Revenue,state_27,Maharashtra,district_479,Jalna,Backyard,Indigenous,34714,67624,51560,24,47,40,,,
2663d395-b7db-4ecd-ae9a-fbcb9e15f61c,country_IN,India,Revenue,state_27,Maharashtra,district_489,Parbhani,Backyard,Indigenous,30378,66884,49308,37,61,29,,,
c15fcf20-7440-4992-9d5f-67d5022f8109,country_IN,India,Revenue,state_27,Maharashtra,district_470,Beed,Backyard,Indigenous,161216,312063,188499,184,239,13,,,
df3382e7-52c1-4cbb-acb0-0922d9b867c0,country_IN,India,Revenue,state_27,Maharashtra,district_481,Latur,Backyard,Indigenous,37760,68976,39178,35,42,3,,,
a7614073-a347-43e9-92a2-50083c7ac1f1,country_IN,India,Revenue,state_27,Maharashtra,district_488,Dharashiv,Backyard,Indigenous,49117,83930,22955,127,477,1365,,,
a8766387-0da8-48ee-a061-3523b2ef9f64,country_IN,India,Revenue,state_27,Maharashtra,district_485,Nanded,Backyard,Indigenous,74642,124706,121761,176,338,106,,,
f3a6f134-f598-4cff-833b-6e220cd4da5c,country_IN,India,Revenue,state_27,Maharashtra,district_477,Hingoli,Backyard,Indigenous,31439,50823,46536,19,30,3,,,
f8c6b716-5739-496e-8e87-c0423a8c53e5,country_IN,India,Revenue,state_27,Maharashtra,district_468,Amravati,Backyard,Indigenous,51160,95681,89505,122,396,118,,,
0fbe41ef-cf00-4543-964e-ffd360f5e477,country_IN,India,Revenue,state_27,Maharashtra,district_467,Akola,Backyard,Indigenous,15396,25373,20917,89,97,86,,,
e650dcaa-9a64-4678-b964-dd3e77f8f96f,country_IN,India,Revenue,state_27,Maharashtra,district_499,Washim,Backyard,Indigenous,15177,36070,14322,11,19,5,,,
92a87585-c757-40b0-95fb-8c768ac587a3,country_IN,India,Revenue,state_27,Maharashtra,district_472,Buldhana,Backyard,Indigenous,45094,102321,54873,204,192,64,,,
e32e3ecd-a59a-4a52-9208-e9734b72a5ab,country_IN,India,Revenue,state_27,Maharashtra,district_500,Yavatmal,Backyard,Indigenous,64586,144530,161478,309,1069,616,,,
a2dfee18-f54e-44fb-8fc0-e36b2d7af637,country_IN,India,Revenue,state_27,Maharashtra,district_484,Nagpur,Backyard,Indigenous,52830,79317,93477,166,314,115,,,
dc0709be-93c8-4cb4-b189-936465d4e2fc,country_IN,India,Revenue,state_27,Maharashtra,district_498,Wardha,Backyard,Indigenous,22227,44242,40105,31,91,33,,,
1e12e19e-b898-4897-b469-4f77c10128b1,country_IN,India,Revenue,state_27,Maharashtra,district_471,Bhandara,Backyard,Indigenous,41352,73106,182273,52,98,61,,,
c35b9943-8c4e-425b-9d4b-74992e2a1c2f,country_IN,India,Revenue,state_27,Maharashtra,district_476,Gondia,Backyard,Indigenous,40940,64205,137335,187,287,217,,,
25a02233-e235-4567-bb6f-3e05df5f8de5,country_IN,India,Revenue,state_27,Maharashtra,district_473,Chandrapur,Backyard,Indigenous,57991,125432,239156,77,139,53,,,
34bf7a3f-9688-445a-abc8-c9eb71cc47ed,country_IN,India,Revenue,state_27,Maharashtra,district_475,Gadchiroli,Backyard,Indigenous,155237,233675,602254,679,1097,453,,,
dc8998dd-ba03-40db-b28b-0547427b5f38,country_IN,India,Revenue,state_27,Maharashtra,district_482,Mumbai,Backyard,Improved,57,79,71,25,32,36,,,
7d2ce8f4-d5d6-4dc4-8861-f1c810b394e7,country_IN,India,Revenue,state_27,Maharashtra,district_497,Thane,Backyard,Improved,11505,22952,26402,14,39,17,,,
f1a5f87f-86c6-4486-aa15-6f0bfc4ccf4c,country_IN,India,Revenue,state_27,Maharashtra,district_665,Palghar,Backyard,Improved,39366,74253,85708,84,185,220,,,
6e2d7e1d-e5f0-422d-928f-f7bc61bcc6d8,country_IN,India,Revenue,state_27,Maharashtra,district_491,Raigad,Backyard,Improved,18704,37547,34844,21,30,9,,,
09a7f1be-2efa-44cd-8eef-25543afb8ca2,country_IN,India,Revenue,state_27,Maharashtra,district_492,Ratnagiri,Backyard,Improved,43217,71876,82932,16,24,169,,,
91445450-71e3-4206-afa6-ba037b3a8b60,country_IN,India,Revenue,state_27,Maharashtra,district_495,Sindhudurg,Backyard,Improved,10055,15933,15178,1,2,3,,,
1a3a8f58-d6f9-488f-ae0c-57a9cd9da6a9,country_IN,India,Revenue,state_27,Maharashtra,district_487,Nashik,Backyard,Improved,36498,55016,40333,8,12,13,,,
4ebe5f86-1fe6-419f-bda6-bf3fec40fed4,country_IN,India,Revenue,state_27,Maharashtra,district_474,Dhule,Backyard,Improved,9524,25832,45056,1,15,6,,,
913cc9af-fe18-40a3-8909-e13c2a73e8d5,country_IN,India,Revenue,state_27,Maharashtra,district_486,Nandurbar,Backyard,Improved,64102,128120,174751,7,41,8,,,
de582881-b06c-4daf-8de2-56f0251ebd70,country_IN,India,Revenue,state_27,Maharashtra,district_478,Jalgaon,Backyard,Improved,25211,50638,26029,27,35,26,,,
d0b26645-c0a7-4b4e-b951-df132b063726,country_IN,India,Revenue,state_27,Maharashtra,district_466,Ahmednagar,Backyard,Improved,43462,87797,51236,11,45,12,,,
654852ce-755e-4f47-924e-8ff67440613e,country_IN,India,Revenue,state_27,Maharashtra,district_490,Pune,Backyard,Improved,183642,295143,236364,83,149,47,,,
d68d1264-baa2-4274-a99d-e9a7516c8ed7,country_IN,India,Revenue,state_27,Maharashtra,district_494,Satara,Backyard,Improved,31211,62862,36406,69,48,27,,,
e13a41aa-0b71-41e4-b67a-6fe29a50785e,country_IN,India,Revenue,state_27,Maharashtra,district_493,Sangli,Backyard,Improved,54589,146278,37831,17,55,30,,,
19df32a0-15dc-471b-a51b-9edae5805e6b,country_IN,India,Revenue,state_27,Maharashtra,district_496,Solapur,Backyard,Improved,38436,104109,42505,76,139,70,,,
707d9b0a-ef6d-47e6-a6db-ad9b047edac0,country_IN,India,Revenue,state_27,Maharashtra,district_480,Kolhapur,Backyard,Improved,31454,72008,113986,2,14,3,,,
d1c39ddc-ff45-48ca-a9e2-b0ed1b4b06f5,country_IN,India,Revenue,state_27,Maharashtra,district_469,Chhatrapati Sambhajinagar,Backyard,Improved,24245,49514,28849,107,128,162,,,
c9c94de8-e2fa-4bbc-881e-45c059414c78,country_IN,India,Revenue,state_27,Maharashtra,district_479,Jalna,Backyard,Improved,26406,50548,41430,8,28,5,,,
143aa342-ed6e-4ce0-8abc-c4a10a61f4e4,country_IN,India,Revenue,state_27,Maharashtra,district_489,Parbhani,Backyard,Improved,1168,4701,2121,0,0,0,,,
c94390bd-5450-4611-a4c2-510cfda62618,country_IN,India,Revenue,state_27,Maharashtra,district_470,Beed,Backyard,Improved,55952,101887,73348,3,15,16,,,
45cafadf-d1f2-4ef1-a2ac-725f8101a322,country_IN,India,Revenue,state_27,Maharashtra,district_481,Latur,Backyard,Improved,12766,15182,15137,0,0,0,,,
a89f80d0-91d1-4499-9bd8-ba0ab96cba91,country_IN,India,Revenue,state_27,Maharashtra,district_488,Dharashiv,Backyard,Improved,56318,85151,53786,486,2546,189,,,
e5d01710-b062-4dd2-bd82-de261fb7e9f5,country_IN,India,Revenue,state_27,Maharashtra,district_485,Nanded,Backyard,Improved,2824,7505,5738,6,7,5,,,
a1223e4c-8730-4850-b393-d1525a398d8c,country_IN,India,Revenue,state_27,Maharashtra,district_477,Hingoli,Backyard,Improved,3911,7115,8454,0,0,0,,,
d698ba1b-28cc-4461-9cf2-2644cf208f08,country_IN,India,Revenue,state_27,Maharashtra,district_468,Amravati,Backyard,Improved,5345,8703,9158,19,51,31,,,
3bb0dcd9-1cfe-4a12-a9b8-546c37bf0cfa,country_IN,India,Revenue,state_27,Maharashtra,district_467,Akola,Backyard,Improved,2830,6326,5449,0,0,0,,,
c2df1d54-cc3e-4e15-b357-105f25a70eac,country_IN,India,Revenue,state_27,Maharashtra,district_499,Washim,Backyard,Improved,2410,3750,1173,2,2,0,,,
1279f9ca-72cb-43fc-a61d-a1b69c889473,country_IN,India,Revenue,state_27,Maharashtra,district_472,Buldhana,Backyard,Improved,19243,36991,35968,1,0,0,,,
8423b586-4480-40b7-8f41-6afc7748e2ef,country_IN,India,Revenue,state_27,Maharashtra,district_500,Yavatmal,Backyard,Improved,19233,34391,28855,8,6,4,,,
c129ec19-2523-4013-bc48-85849f2d7af0,country_IN,India,Revenue,state_27,Maharashtra,district_484,Nagpur,Backyard,Improved,15858,22677,20263,67,53,55,,,
88d528c2-0399-4cac-8e28-c757935b6aef,country_IN,India,Revenue,state_27,Maharashtra,district_498,Wardha,Backyard,Improved,6328,8181,7599,0,0,0,,,
7ec8bfb1-6023-4cae-bb8e-2ecd9a4195e7,country_IN,India,Revenue,state_27,Maharashtra,district_471,Bhandara,Backyard,Improved,1180,2559,5335,1,2,0,,,
6cb6582a-07cb-4213-9731-da2e332dd847,country_IN,India,Revenue,state_27,Maharashtra,district_476,Gondia,Backyard,Improved,17839,22181,19080,10,36,13,,,
c344abb6-6ee7-413c-997f-c91d3032be87,country_IN,India,Revenue,state_27,Maharashtra,district_473,Chandrapur,Backyard,Improved,21156,46445,97683,17,24,17,,,
18b17214-dc83-41dc-8f3b-daa170b0cbf5,country_IN,India,Revenue,state_27,Maharashtra,district_475,Gadchiroli,Backyard,Improved,2901,3603,4559,26,34,20,,,
483b2720-1799-40a0-91f7-d7d07d5e9961,country_IN,India,Revenue,state_27,Maharashtra,district_482,Mumbai,Commercial,Other,,,,,,,469,6636,628
46b1039a-e7dc-407d-a6ea-7c6cc71ae028,country_IN,India,Revenue,state_27,Maharashtra,district_497,Thane,Commercial,Other,,,,,,,12,153284,305679
3a2dce4e-24e6-49f8-b2d4-5ea8e9a4e75c,country_IN,India,Revenue,state_27,Maharashtra,district_665,Palghar,Commercial,Other,,,,,,,0,4637,2
373d28a3-1081-44cb-a891-1500eb35fb3c,country_IN,India,Revenue,state_27,Maharashtra,district_491,Raigad,Commercial,Other,,,,,,,11,11061,1990
a9f4ecd7-cdf0-4c34-ae17-b54f159b2a95,country_IN,India,Revenue,state_27,Maharashtra,district_492,Ratnagiri,Commercial,Other,,,,,,,0,45,17
697adfa0-8a06-403b-83b3-d279928f3f0a,country_IN,India,Revenue,state_27,Maharashtra,district_495,Sindhudurg,Commercial,Other,,,,,,,0,1,0
ad2664c9-cee8-46da-b815-919be080448c,country_IN,India,Revenue,state_27,Maharashtra,district_487,Nashik,Commercial,Other,,,,,,,5512,81391,67560
2dfcbe69-2fad-4ea3-bdf3-f7cde4c465dc,country_IN,India,Revenue,state_27,Maharashtra,district_474,Dhule,Commercial,Other,,,,,,,0,37004,3016
0661c44b-58a6-454f-b481-0f6611df4fd5,country_IN,India,Revenue,state_27,Maharashtra,district_486,Nandurbar,Commercial,Other,,,,,,,0,0,0
b5e60933-a4a4-4475-9154-aa499e845710,country_IN,India,Revenue,state_27,Maharashtra,district_478,Jalgaon,Commercial,Other,,,,,,,0,11,20
646fe390-6139-42fc-b3ed-38f5893d546e,country_IN,India,Revenue,state_27,Maharashtra,district_466,Ahmednagar,Commercial,Other,,,,,,,2,73890,11047
6ca69af5-4aaf-4a82-b588-274333e68fc3,country_IN,India,Revenue,state_27,Maharashtra,district_490,Pune,Commercial,Other,,,,,,,0,90505,44528
012cc235-a4d7-4dbf-ad26-9527a56e81c7,country_IN,India,Revenue,state_27,Maharashtra,district_494,Satara,Commercial,Other,,,,,,,10,64104,19007
48e8992e-ebdf-48ba-9a31-87e84ebb467d,country_IN,India,Revenue,state_27,Maharashtra,district_493,Sangli,Commercial,Other,,,,,,,0,8010,15000
1298c723-8f48-4026-931f-4297983f20f0,country_IN,India,Revenue,state_27,Maharashtra,district_496,Solapur,Commercial,Other,,,,,,,0,32,2
86f194b9-4850-4b1e-9793-f6f45b408831,country_IN,India,Revenue,state_27,Maharashtra,district_480,Kolhapur,Commercial,Other,,,,,,,0,19438,317504
